id,user_id,date,grade,rice_add,wheat_add,oil_add,pulse_add,rice_open,wheat_open,oil_open,pulse_open,created_at
015d1c11-9ce6-4cf9-b966-6ab95ccb5f80,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-27,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:37.504113+00
136ca80a-e197-4a9a-a6f5-ece46f55fea0,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-18,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:33.611922+00
1409f1fc-4c36-430a-9c82-a6df96bec152,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-15,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:32.172199+00
1850800d-12e6-4321-99d0-6ded04802fc9,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-09,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:29.725177+00
19a3b1f7-7152-406c-8871-7494d6d4fa01,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-17,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:33.208246+00
1b739e81-d64c-44e6-a607-c794b4703b4a,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-06,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:28.603709+00
2017e287-66a5-42df-a00e-e400b32f606e,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-26,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:37.095538+00
2903a528-a56c-490b-89fc-6058b6d28dd0,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-25,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:36.690418+00
290b8edd-78a4-417d-8cbb-315dbc3cd503,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-28,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:37.716318+00
45f1be3b-3a3c-4565-b3e7-8cb9edd6c217,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-16,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:32.591327+00
4639e0ed-e938-4212-8b4e-6fae25981965,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-10,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:30.132623+00
4745715a-51c5-4426-a5ce-ee36250540b9,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-28,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:38.019563+00
4ba23da7-2f04-477b-bab8-ed0b1d287eba,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-01,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:25.74801+00
510309f3-3272-402d-b695-0118ea877a98,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-22,1-5,0,0,0,0,0,0,0,0,2026-02-09 17:12:35.152717+00
51b4309f-5ec0-4dd6-b676-18da5f9e075d,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-04,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:27.639522+00
58d23047-15b3-4460-910e-2b1799753c29,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-07,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:29.107083+00
5e646eea-a119-44ff-ad1d-d9459e41f01e,9d16f34f-9cf4-47ee-9cf4-3717f42f1e23,2026-02-05,6-10,0,0,0,0,0,0,0,0,2026-02-09 17:12:28.189014+00
